model,model_dir,cnv_dim,cnv_hlayers_sizes,drug_char_dict,drug_concat_heads,drug_dim,drug_dropout,drug_gat_layers,drug_gcn_layers,drug_hlayers_sizes,drug_kernel_sizes,drug_n_embedding,drug_num_attention_heads,drug_num_filters,drug_residual_connection,drug_seq_length,expr_batchnorm,expr_dim,expr_hlayers_sizes,expr_kernel_size,expr_kernel_size1,expr_kernel_size_rest,expr_kernel_sizes,expr_num_filters,expr_pool_size,hidden_activation,hidden_dropout,l2,learn_rate,mut_dim,mut_hlayers_sizes,predictor_hlayers_sizes,keras_pearson,keras_r2_score,keras_spearman,loss,mean_squared_error,root_mean_squared_error
"expr (WGCNA, dense) + drug (ECFP4 1024, dense)",../results/2021-07-08_10-02-23,,,,,1024.0,,,,[256],,,,,,,,136.0,"[64, 32]",,,,,,,prelu,0.5,0.0001,0.001,,,"[1024, 512]",0.4909670650959015,0.17902125418186188,0.4124475419521332,3261.425048828125,3260.05615234375,57.096900939941406
"expr (full, clustering order, 1D Conv) + drug (ECFP4, 1024, dense)",../results/2021-07-10_14-02-58,,,,,1024.0,,,,[256],,,,,,,True,18779,,,,,"[5, 5]","[64, 64]",5,leakyrelu,0.0,0.0,0.001,,,"[1024, 1024]",0.6557958126068115,0.3655383288860321,0.5886580348014832,2083.1611328125,2083.1611328125,45.64165878295898
"expr (full, chromosome position order, 1D Conv) + drug (ECFP4, 1024, dense)",../results/2021-07-10_14-08-47,,,,,1024.0,,,,[128],,,,,,,True,18779,,,,,"[5, 5]","[32, 32]",10,leakyrelu,0.0,0.001,0.0001,,,"[256, 128, 64]",0.6391177177429199,0.3621706962585449,0.5711956024169922,2133.502685546875,2131.23828125,46.16533660888672
"expr (full, chromosome position order, 2D Conv) + drug (ECFP4, 1024, dense)",../results/2021-07-12_22-15-05,,,,,1024.0,,,,"[128, 64]",,,,,,,True,"(138, 138, 1)",,"(5, 5)",,,,[32],"(2, 2)",prelu,0.0,0.01,0.001,,,[4096],0.6289666295051575,0.3005034923553467,0.5608550906181335,2479.861083984375,2310.5,48.06766128540039
"expr (full, clustering order, 2D Conv) + drug (ECFP4, 1024, dense)",../results/2021-07-11_19-59-41,,,,,1024.0,,,,[512],,,,,,,False,"(138, 138, 1)",,"(3, 3)",,,,"[16, 32, 64]","(2, 2)",relu,0.1,0.1,0.0001,,,"[256, 128, 64]",0.5528121590614319,0.19783851504325867,0.4915273785591126,2923.986328125,2798.124267578125,52.89730072021485
"expr (full, dense, MinMaxScaler) + drug (ECFP4, 1024, dense)",../results/2021-07-11_13-02-09,,,,,1024.0,,,,"[512, 256]",,,,,,,,18779,"[256, 128]",,,,,,,leakyrelu,0.2,0.0,0.0001,,,"[1024, 512, 256]",0.6472998261451721,0.36955910921096796,0.5815195441246033,2099.316650390625,2099.316650390625,45.81830215454102
"expr (target genes (all interactions), dense, MinMaxScaler) + drug (MolecularTransformerEmbeddings, Dense)",../results/2021-07-13_15-43-50,,,,,512.0,,,,[256],,,,,,,,976,[16],,,,,,,leakyrelu,0.0,0.0,0.0001,,,"[512, 512, 512]",0.6721371412277222,0.4145258069038391,0.5959885716438293,2095.568359375,2095.568359375,45.77737808227539
"expr (target genes (all interactions), dense, MinMaxScaler) + drug (LayeredFP, Dense)",../results/2021-07-13_20-03-54,,,,,1024.0,,,,[1024],,,,,,,,976,[64],,,,,,,leakyrelu,0.0,0.0001,0.001,,,"[2048, 1024, 512]",0.6776489615440369,0.4284853637218475,0.6013271808624268,2116.98486328125,2050.58154296875,45.2833480834961
"expr (target genes (all interactions), dense, MinMaxScaler) + drug (GCN)",../results/2021-07-14_22-20-49,,,,,96.0,0.0,,"[128, 128]",,,,,,1.0,,,976,"[512, 256, 128]",,,,,,,prelu,0.3,0.001,0.001,,,"[2048, 2048]",0.6838496923446655,0.4051499664783478,0.6086046695709229,2459.685546875,2201.314697265625,46.91817092895508
"expr (target genes (all interactions), dense, MinMaxScaler) + drug (TextCNN)",../results/2021-07-14_22-20-12,,,"{'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 't': 34, '.': 35, 'B': 36, '9': 37, 'A': 38}",,214.0,0.5,,,,"[3, 5, 7]",75.0,,"[32, 32, 32, 32, 64, 64, 64, 64, 128, 128, 128, 128]",,214.0,,976,"[256, 128]",,,,,,,prelu,0.2,0.1,0.001,,,[512],0.6140351295471191,0.31435805559158325,0.5489282011985779,2562.740234375,2315.595947265625,48.12063980102539
"expr (target genes, dense, MinMaxScaler) + mut (gene-level, target genes) + cnv (GISTIC, target genes) + drug (ECFP4, Dense)",../results/2021-07-20_12-00-33,952.0,"[32, 16]",,,1024.0,,,,[512],,,,,,,,976,"[128, 64]",,,,,,,prelu,0.0,0.0001,0.001,636.0,[256],[256],0.6579149961471558,0.3941482305526733,0.5800743699073792,2212.72412109375,2204.220703125,46.94912719726562
"expr (target genes, dense, MinMaxScaler) + mut (pathway-level, target genes) + cnv (GISTIC, target genes) + drug (ECFP4, Dense)",../results/2021-09-09_15-05-24,952.0,"[256, 128, 64]",,,1024.0,,,,[512],,,,,,,,976,[64],,,,,,,prelu,0.1,0.0,0.0001,1510.0,[256],[1024],0.6853049993515015,0.4380902349948883,0.6131357550621033,2048.585693359375,2048.585693359375,45.26130294799805
"expr (target genes (all interactions), dense, MinMaxScaler) + one-hot encoded drugs",../results/2021-09-09_22-00-33,,,,,106.0,,,,[8],,,,,,,,976,[128],,,,,,,prelu,0.5,0.001,0.001,,,"[256, 128, 64]",0.011891916394233705,-0.0297666285187006,0.014207258820533752,4326.19873046875,4323.5859375,65.75398254394531
"expr (target genes (all interactions), dense, MinMaxScaler) + drug (GAT)",../results/2021-09-10_13-40-49,,,,1.0,96.0,0.0,"[8, 8, 8]",,,,,6.0,,0.0,,,976,"[64, 32, 16]",,,,,,,prelu,0.0,0.0001,0.0001,,,"[1024, 1024, 1024]",0.6047568917274475,0.30929267406463623,0.5265606641769409,2587.9658203125,2587.1455078125,50.863990783691406
