,experiment,y_true,y_pred,difference
8833,SW-620+26980+760766,20.0,19.582685,0.41731499999999855
14384,SK-MEL-5+109724+743414,10.0,10.418544,0.4185440000000007
9688,HL-60(TB)+119875+296961,7.0,6.5784345,0.4215654999999998
19261,NCI-H23+719276+713563,60.0,60.43382,0.4338199999999972
29226,UO-31+715055+749226,42.0,41.564533000000004,0.4354669999999956
23066,OVCAR-8+26980+362856,10.0,9.563483999999999,0.436516000000001
16600,A549/ATCC+45923+63878,23.0,22.546473000000002,0.45352699999999757
25528,786-0+127716+79037,24.0,24.456228,0.4562279999999994
29865,SN12C+749226+761432,104.5,104.04085,0.45914999999999395
20220,NCI-H460+712807+82151,38.0,37.538345,0.46165500000000037
11177,RPMI-8226+14229+686673,29.0,29.461665999999997,0.46166599999999747
26701,ACHN+609699+762,49.0,49.46218,0.4621799999999965
13183,M14+25154+102816,37.0,36.535835,0.46416500000000127
701,MDA-MB-231+266046+713563,6.0,5.533537,0.46646300000000007
7388,HCT-15+613327+713563,14.0,13.530145999999998,0.46985400000000155
24289,NCI/ADR-RES+719276+752,2.0,2.4723002999999997,0.4723002999999997
10892,MOLT-4+673596+747974,24.0,23.520982999999998,0.47901700000000247
13102,M14+122758+753082,57.0,57.48061,0.48060999999999865
2385,T-47D+698037+749226,15.0,14.516456,0.4835440000000002
19296,NCI-H23+743414+19893,9.0,8.514039,0.48596099999999964
10528,K-562+747971+19893,1.0,1.4865025,0.48650250000000006
11028,MOLT-4+754230+241240,3.0,2.5085607000000003,0.4914392999999997
8157,KM12+125973+606869,35.0,35.493084,0.4930840000000032
25945,A498+102816+169780,10.0,9.495069,0.5049309999999991
16486,A549/ATCC+246131+122758,18.0,18.508024,0.5080239999999989
3554,SF-295+77213+79037,34.0,33.48988,0.5101200000000006
29415,A498+122819+753082,8.0,7.486059700000001,0.5139402999999989
25254,DU-145+673596+754143,78.0,78.51737,0.5173699999999997
1739,BT-549+296961+760766,5.0,5.520639,0.5206390000000001
11047,MOLT-4+761431+761432,151.0,151.5222,0.522199999999998
11656,SR+14229+763371,5.0,4.472677,0.527323
10770,MOLT-4+256942+71423,94.0,93.46705,0.5329499999999996
25635,786-0+3053+608210,14.0,13.462852999999999,0.5371470000000009
28555,TK-10+256439+732517,23.0,23.539469,0.5394690000000004
2078,T-47D+119875+673596,8.0,8.553081,0.5530810000000006
23099,OVCAR-8+32065+701852,19.0,18.44383,0.5561700000000016
24079,NCI/ADR-RES+266046+362856,9.0,9.556436,0.5564359999999997
11764,SR+34462+141540,33.0,32.440909999999995,0.5590900000000047
11668,SR+19893+715055,10.0,10.565112,0.5651119999999992
12086,LOX IMVI+119875+123127,53.0,52.43374,0.5662599999999998
1611,BT-549+138783+19893,1.0,0.43056476,0.56943524
376,MCF7+719345+763371,37.0,36.4185,0.5814999999999984
27731,RXF 393+67574+169780,10.0,9.418443,0.5815570000000001
23767,SK-OV-3+719345+19893,7.0,7.584800200000001,0.584800200000001
5432,U251+719344+141540,32.0,31.413008,0.5869919999999986
16145,MDA-MB-435+66847+749226,69.0,68.40156,0.5984399999999965
537,MDA-MB-231+122758+122819,36.0,36.59875,0.5987500000000026
25720,786-0+628503+755986,81.0,81.59891999999999,0.5989199999999926
27928,SN12C+105014+34462,25.0,25.603094,0.6030939999999987
25906,786-0+762+34462,3.0,3.6065702000000006,0.6065702000000006
18661,NCI-H226+606869+715055,65.0,65.61137,0.6113699999999938
5933,COLO 205+719276+279836,117.0,117.6123,0.6123000000000047
6976,HCT-116+733504+169780,2.0,1.3818206,0.6181794
2952,SF-268+715055+123127,11.0,10.37476,0.6252399999999998
2222,T-47D+26271+122819,14.0,14.627357,0.6273569999999999
19392,NCI-H23+9706+226080,3.0,2.3637896,0.6362104
29036,UO-31+256942+628503,8.0,8.64236,0.64236
25171,DU-145+38721+698037,5.0,5.67897,0.6789699999999996
25576,786-0+246131+241240,9.0,9.681575,0.6815750000000005
17850,HOP-62+92859+26271,14.0,14.682476999999999,0.6824769999999987
7068,HCT-116+77213+226080,5.0,4.2971954000000006,0.7028045999999994
16994,EKVX+26271+82151,8.0,7.296840700000001,0.7031592999999994
25000,DU-145+125066+82151,32.0,31.278893,0.7211069999999999
14238,SK-MEL-28+719344+750690,4.0,3.2783766000000005,0.7216233999999995
7425,HCT-15+681239+713563,6.0,6.7276297000000005,0.7276297000000005
1425,HS 578T+733504+279836,34.0,33.261883000000005,0.7381169999999955
10206,K-562+125973+226080,9.0,9.759731,0.7597310000000004
14319,SK-MEL-28+754143+34462,11.0,11.761899,0.7618989999999997
26122,A498+266046+756645,17.0,17.767374,0.7673740000000002
8874,SW-620+369100+279836,19.0,19.78006,0.7800599999999989
27773,RXF 393+715055+755986,16.0,16.780217999999998,0.7802179999999979
2591,T-47D+92859+1390,29.0,29.791426,0.7914260000000013
22046,OVCAR-4+25154+122819,5.0,4.2050695,0.7949305000000004
25484,786-0+109724+698037,2.0,2.8027499,0.8027498999999998
7231,HCT-15+246131+608210,13.0,12.193427,0.8065730000000002
19197,NCI-H23+6396+279836,27.0,26.18704,0.8129600000000003
1685,BT-549+256439+296961,100.0,100.81444499999999,0.8144449999999921
9468,CCRF-CEM+681239+71423,12.0,12.814919999999999,0.814919999999999
28954,UO-31+138783+180973,4.0,3.1844025,0.8155975
12800,MALME-3M+608210+757441,2.0,1.1839191,0.8160809
10027,HL-60(TB)+719344+34462,5.0,4.1771727,0.8228273000000002
8343,KM12+409962+713563,5.0,5.825554400000001,0.8255544000000006
11985,SR+747971+761432,207.0,207.83098,0.8309800000000109
26558,ACHN+241240+737754,13.0,12.168118,0.8318820000000002
18676,NCI-H226+613327+279836,5.0,4.163721,0.8362790000000002
25477,786-0+109724+226080,9.0,9.839992,0.8399920000000005
611,MDA-MB-231+180973+760766,8.0,7.1566076,0.8433923999999999
158,MCF7+25154+745750,16.0,16.847633,0.8476329999999983
25556,786-0+218321+122819,9.0,8.120138,0.8798619999999993
13762,SK-MEL-2+66847+763371,30.0,29.120113,0.8798870000000001
29850,786-0+749226+760766,16.5,15.611560999999998,0.8884390000000018
19847,NCI-H322M+754143+279836,56.0,55.11111999999999,0.8888800000000074
28279,SN12C+719344+608210,3.0,3.889543,0.8895430000000002
17515,HOP-62+266046+756645,7.0,6.1098422999999995,0.8901577000000005
25909,786-0+762+79037,20.0,20.892782,0.8927820000000004
7125,HCT-15+118218+713563,30.0,29.104703999999998,0.8952960000000019
23929,NCI/ADR-RES+122758+761432,21.0,20.103392000000003,0.896607999999997
22642,OVCAR-5+45923+608210,3.0,3.8986464,0.8986464000000001
20292,NCI-H460+747599+713563,9.0,9.903171,0.9031710000000004
16652,A549/ATCC+673596+71423,8.0,7.0897630000000005,0.9102369999999995
27301,CAKI-1+718781+18509,12.0,11.084578500000001,0.915421499999999
1589,BT-549+125973+713563,19.0,19.916754,0.916754000000001
20916,NCI-H522+92859+606869,22.0,21.079678,0.9203219999999988
27651,RXF 393+32065+241240,5.0,4.066118,0.9338819999999997
29230,UO-31+718781+82151,26.0,25.063364,0.936636
5059,SNB-75+92859+712807,55.0,55.94834,0.9483400000000017
8810,SW-620+26271+713563,3.0,3.953422,0.9534220000000002
9067,SW-620+740+715055,38.0,38.954994,0.9549939999999992
15262,UACC-257+721517+760766,17.0,17.958014000000002,0.9580140000000021
10574,K-562+755+71423,1.0,0.03771896,0.96228104
27130,CAKI-1+26980+701852,16.0,15.034703,0.9652969999999996
1607,BT-549+138783+102816,20.0,19.027186999999998,0.9728130000000021
17695,HOP-62+713563+761432,34.0,33.00926,0.9907400000000024
26711,ACHN+628503+749226,56.0,55.009026,0.9909740000000014
8859,SW-620+32065+122819,28.0,27.006031,0.9939689999999999
22490,OVCAR-5+180973+82151,18.0,18.999819,0.9998189999999987
19466,NCI-H322M+138783+715055,10.0,9.00005,0.9999500000000001
29836,786-0+749226+755986,26.0,27.000134999999997,1.0001349999999967
8014,HT29+745750+713563,9.0,10.007882,1.0078820000000004
17829,HOP-62+77213+45388,9.0,10.012313,1.0123130000000007
17536,HOP-62+296961+122819,35.0,36.018817999999996,1.018817999999996
21634,OVCAR-3+369100+71423,1.0,2.020018,1.0200179999999999
5259,U251+3053+13875,3.0,4.021619,1.0216190000000003
20787,NCI-H522+719344+760766,1.0,-0.031249635,1.031249635
5037,SNB-75+79037+760766,4.0,5.033229,1.0332290000000004
10721,MOLT-4+19893+9706,38.0,36.964764,1.0352359999999976
24479,PC-3+127716+701852,28.0,29.044664,1.044664000000001
10005,HL-60(TB)+718781+3088,5.0,6.0519986,1.0519986000000001
2346,T-47D+628503+761432,7.0,5.941294,1.058706
9562,CCRF-CEM+745750+122819,51.0,49.939846,1.0601539999999972
8659,SW-620+122819+755986,30.0,28.939526,1.0604739999999993
28051,SN12C+25154+713563,38.0,36.93217,1.0678300000000007
9690,HL-60(TB)+119875+713563,31.0,32.077507000000004,1.0775070000000042
1139,HS 578T+218321+9706,36.0,37.07936,1.0793600000000012
23980,NCI/ADR-RES+1390+755986,12.0,10.909267999999999,1.090732000000001
42,MCF7+122758+755986,33.0,31.906709999999997,1.0932900000000032
1165,HS 578T+25154+8806,2.0,0.9055431999999999,1.0944568000000001
20164,NCI-H460+609699+754230,3.0,4.103306,1.103306
2228,T-47D+266046+1390,5.0,3.8939638,1.1060362000000001
22879,OVCAR-5+8806+715055,2.0,0.8883989999999999,1.111601
22917,OVCAR-8+122819+760766,16.0,14.888295999999999,1.1117040000000014
12252,LOX IMVI+34462+747974,24.0,22.881659,1.118341000000001
3294,SF-295+3053+749226,22.0,20.876604,1.1233959999999996
14825,SK-MEL-5+77213+241240,25.0,23.867914000000003,1.1320859999999975
1577,BT-549+119875+762,46.0,47.134884,1.1348839999999996
10156,HL-60(TB)+92859+733504,9.0,10.135357,1.1353570000000008
20250,NCI-H460+719345+279836,35.0,33.858565999999996,1.1414340000000038
24326,NCI/ADR-RES+743414+82151,1.0,-0.15943348,1.15943348
1826,BT-549+628503+19893,2.0,3.177353,1.177353
17804,HOP-62+754143+715055,71.0,72.17799000000001,1.1779900000000083
26284,A498+718781+753082,17.0,18.192514000000003,1.1925140000000027
21285,IGROV1+719276+6396,2.0,3.1987271,1.1987271000000002
12027,SR+762+719276,2.0,3.2008286,1.2008286
25169,DU-145+38721+279836,27.0,28.212546999999997,1.2125469999999972
10631,MOLT-4+109724+125066,13.0,14.214081,1.2140810000000002
20289,NCI-H460+745750+8806,1.0,2.2179477000000003,1.2179477000000003
27968,SN12C+125066+79037,16.0,14.781073999999998,1.2189260000000015
12050,SR+85998+752,30.0,31.2446,1.2445999999999984
644,MDA-MB-231+241240+737754,16.0,17.246154999999998,1.2461549999999981
24473,PC-3+125973+760766,7.0,8.251721,1.2517209999999999
25953,A498+109724+19893,6.0,4.7431754999999995,1.2568245000000005
12204,LOX IMVI+25154+686673,24.0,22.738022,1.2619779999999992
2494,T-47D+747971+122819,3.0,1.7267576,1.2732424
25655,786-0+362856+241240,10.0,8.719572,1.2804280000000006
1375,HS 578T+718781+609699,5.0,3.7155532999999994,1.2844467000000006
15945,MDA-MB-435+141540+715055,14.0,12.713992999999999,1.2860070000000015
25256,DU-145+673596+79037,14.0,12.712444,1.2875560000000004
24423,NCI/ADR-RES+9706+27640,2.0,3.2878306000000004,1.2878306000000004
18339,HOP-92+77213+750,9.0,7.7109137,1.2890863000000001
26145,A498+3053+715055,77.0,78.29228,1.2922800000000052
14233,SK-MEL-28+719276+715055,39.0,40.2926,1.2926000000000002
11937,SR+719276+756645,66.0,64.705605,1.2943949999999944
4628,SNB-75+122758+279836,44.0,45.29482,1.2948200000000014
28261,SN12C+718781+123127,10.0,8.704391000000001,1.295608999999999
29999,OVCAR-3+761432+763371,31.5,30.201849,1.2981510000000007
19908,NCI-H460+102816+79037,13.0,14.3011465,1.3011464999999998
28175,SN12C+609699+169780,3.0,1.6914581000000002,1.3085418999999998
23790,SK-OV-3+733504+713563,7.0,8.316751,1.316751
29544,A498+34462+753082,13.5,14.819444,1.3194440000000007
13780,SK-MEL-2+702294+122819,37.0,38.33359,1.333590000000001
8745,SW-620+226080+32065,7.0,5.6649027,1.3350973000000002
4422,SNB-19+719276+3088,1.0,2.3529472,1.3529472
4817,SNB-75+409962+743414,1.0,-0.36088675,1.36088675
17511,HOP-62+266046+608210,6.0,4.6358685,1.3641315
6830,HCT-116+409962+6396,22.0,20.620539,1.3794609999999992
28768,TK-10+719627+756645,29.0,30.385244,1.3852440000000001
19521,NCI-H322M+241240+279836,7.0,8.386873,1.3868729999999996
269,MCF7+608210+757441,37.0,35.594390000000004,1.4056099999999958
4394,SNB-19+702294+737754,5.0,6.409696599999999,1.4096965999999993
20248,NCI-H460+719345+122819,41.0,39.575817,1.4241829999999993
28818,TK-10+747973+719627,6.0,7.4247665,1.4247664999999996
25313,DU-145+718781+701852,39.0,40.426033000000004,1.4260330000000039
11438,RPMI-8226+719276+45388,8.0,9.427022000000001,1.427022000000001
15053,UACC-257+266046+747974,4.0,5.4385557,1.4385557000000002
11400,RPMI-8226+701852+3053,24.0,22.556784,1.4432159999999996
9029,SW-620+719344+279836,24.0,25.447506,1.4475060000000006
13159,M14+19893+749226,26.0,24.547957999999998,1.4520420000000023
14945,UACC-257+141540+747974,1.0,-0.45591850000000006,1.4559185000000001
4511,SNB-19+754143+27640,39.0,40.460968,1.4609680000000012
15676,UACC-62+66847+737754,19.0,17.524597,1.475403
7017,HCT-116+747971+82151,5.0,6.4840217,1.4840217000000004
23566,SK-OV-3+266046+757441,18.0,19.488676,1.4886760000000017
1664,BT-549+241240+760766,40.0,41.488995,1.4889950000000027
26463,ACHN+119875+673596,64.0,65.492485,1.492485000000002
14993,UACC-257+241240+760766,13.0,11.504871000000001,1.4951289999999986
17180,EKVX+719276+713563,72.0,73.49981,1.4998099999999965
15373,UACC-257+92859+409962,14.0,15.501306,1.5013059999999996
25896,786-0+755+122819,16.0,14.498422,1.5015780000000003
25962,A498+118218+761432,14.0,12.495987,1.5040130000000005
29324,UO-31+750690+761432,14.0,12.490966,1.5090339999999998
16566,A549/ATCC+32065+122819,7.0,5.4893527,1.5106472999999996
27059,CAKI-1+19893+761432,62.0,60.486736,1.5132639999999995
17243,EKVX+747971+761432,100.0,98.48640400000001,1.5135959999999926
4626,SNB-75+119875+9706,15.0,16.516542,1.5165420000000012
24661,PC-3+369100+715055,28.0,29.52093,1.52093
17414,HOP-62+1390+715055,23.0,24.529087,1.5290870000000005
27322,CAKI-1+719627+82151,35.0,33.46844,1.531559999999999
7379,HCT-15+608210+760766,49.0,47.465282,1.534717999999998
12209,LOX IMVI+256439+14229,27.0,25.456561999999998,1.5434380000000019
27796,RXF 393+719345+79037,8.0,9.544183,1.5441830000000003
739,MDA-MB-231+32065+8806,5.0,6.5451202,1.5451202000000004
15442,UACC-62+138783+169780,6.0,7.545735400000001,1.5457354000000008
20305,NCI-H460+747973+19893,7.0,8.556016,1.5560159999999996
21219,IGROV1+673596+755986,30.0,28.437654,1.5623460000000016
28599,TK-10+279836+760766,26.0,27.565042,1.5650419999999983
17437,HOP-62+18509+715055,1.0,-0.569347,1.569347
17802,HOP-62+754143+34462,46.0,47.57571,1.5757100000000008
29762,MCF7+737754+755986,54.0,52.42353,1.5764700000000005
1743,BT-549+3053+8806,20.0,21.582335,1.5823350000000005
20126,NCI-H460+38721+19893,3.0,1.4105743999999998,1.5894256000000002
3735,SF-539+266046+763371,1.0,-0.5994259,1.5994259
1142,HS 578T+226080+747972,26.0,24.399137,1.6008630000000004
14923,UACC-257+125973+715055,63.0,61.39474499999999,1.6052550000000068
11362,RPMI-8226+6396+698037,41.0,42.609497,1.6094969999999975
7675,HT29+125973+713563,5.0,6.610713499999999,1.6107134999999992
24646,PC-3+32065+715055,2.0,3.6123593,1.6123593
21191,IGROV1+613327+715055,10.0,8.379707000000002,1.6202929999999984
24791,PC-3+718781+241240,3.0,1.3718028999999998,1.6281971000000002
12679,MALME-3M+24559+141540,101.0,99.36657,1.6334300000000042
25663,786-0+369100+34462,17.0,15.364238,1.6357619999999997
1817,BT-549+609699+747972,17.0,18.637885999999998,1.6378859999999982
6791,HCT-116+296961+754143,37.0,35.36102,1.6389799999999966
28870,TK-10+85998+122819,17.0,15.354771,1.6452290000000005
20827,NCI-H522+745750+608210,63.0,61.351380000000006,1.648619999999994
371,MCF7+719345+608210,2.0,3.6559510000000004,1.6559510000000004
22310,OVCAR-4+747973+719345,15.0,13.338574,1.6614260000000005
26288,A498+719276+279836,56.0,57.6731,1.673099999999998
7634,HT29+109724+122819,28.0,29.677708000000003,1.6777080000000026
4897,SNB-75+701852+34462,75.0,73.321495,1.6785050000000012
21296,IGROV1+719627+79037,17.0,18.682760000000002,1.6827600000000018
4792,SNB-75+362856+169780,1.0,-0.68783677,1.68783677
10916,MOLT-4+701852+628503,28.0,29.6899,1.6899000000000015
15709,UACC-62+701852+608210,21.0,19.310093,1.6899070000000016
16952,EKVX+218321+141540,8.0,9.692876,1.692876
3355,SF-295+628503+13875,16.0,17.69429,1.6942899999999987
7265,HCT-15+256942+719627,4.0,5.6997349999999996,1.6997349999999996
20961,IGROV1+125066+754143,38.0,39.717471999999994,1.7174719999999937
28771,TK-10+721517+754143,17.0,15.2816725,1.7183274999999991
23110,OVCAR-8+362856+713563,23.0,21.280070000000002,1.719929999999998
7855,HT29+45923+14229,55.0,53.27445600000001,1.7255439999999922
5166,U251+180973+82151,39.0,37.27352,1.7264800000000022
27884,RXF 393+762+713563,20.0,18.270832000000002,1.7291679999999978
10909,MOLT-4+686673+755,15.0,13.268474,1.7315260000000006
11083,MOLT-4+92859+27640,65.0,63.266884,1.7331160000000025
14398,SK-MEL-5+122758+79037,10.0,8.256858,1.7431420000000006
565,MDA-MB-231+127716+279836,29.0,30.750898,1.7508979999999994
9876,HL-60(TB)+32065+8806,1.0,-0.75291955,1.75291955
3131,SF-295+122758+79037,23.0,21.239557,1.7604429999999986
5722,COLO 205+256942+750690,6.0,4.238044,1.7619559999999996
14690,SK-MEL-5+701852+3088,38.0,36.229946000000005,1.7700539999999947
25081,DU-145+246131+733504,38.0,39.774708000000004,1.774708000000004
2059,T-47D+102816+756645,6.0,7.778860000000001,1.7788600000000008
11046,MOLT-4+755+82151,19.0,20.779142,1.7791420000000002
14397,SK-MEL-5+122758+761432,155.0,153.21931,1.7806899999999928
2361,T-47D+66847+737754,30.0,31.789034,1.789034000000001
13237,M14+27640+715055,5.0,3.2104402000000003,1.7895597999999997
24804,PC-3+719276+756645,21.0,19.197702,1.8022980000000004
4624,SNB-75+119875+732517,3.0,1.1948985,1.8051015
24087,NCI/ADR-RES+266046+757441,8.0,9.80725,1.8072499999999998
23862,SK-OV-3+762+246131,27.0,28.80955,1.8095500000000015
19873,NCI-H322M+77213+102816,3.0,4.811312,1.811312
14483,SK-MEL-5+24559+180973,106.0,107.81383999999998,1.8138399999999848
16892,EKVX+122819+760766,24.0,22.186071,1.8139290000000017
10101,HL-60(TB)+754230+118218,155.0,153.17557,1.8244300000000067
20053,NCI-H460+256942+77213,13.0,11.172728,1.8272720000000007
427,MCF7+747973+761432,25.0,26.828058000000002,1.8280580000000022
7568,HCT-15+754143+749226,43.0,41.17041,1.8295900000000032
11800,SR+409962+715055,49.0,47.16883,1.8311700000000002
28457,TK-10+125066+715055,12.0,13.835778,1.8357779999999995
20131,NCI-H460+409962+34462,23.0,21.161997,1.8380030000000005
28489,TK-10+1390+169780,7.0,8.839041,1.839041
10047,HL-60(TB)+733504+141540,40.0,41.840683,1.8406829999999985
16763,A549/ATCC+747973+296961,21.0,22.841501,1.841501000000001
4345,SNB-19+63878+122819,7.0,5.1529355,1.8470645
20330,NCI-H460+754143+19893,34.0,35.8635,1.863500000000002
16397,A549/ATCC+119875+681239,39.0,37.136177,1.8638229999999965
28774,TK-10+732517+13875,8.0,9.875897,1.8758970000000001
4747,SNB-75+26271+701852,10.0,8.116433,1.8835669999999993
29997,MALME-3M+761432+763371,55.0,56.885777000000004,1.8857770000000045
20345,NCI-H460+755+63878,22.0,20.10867,1.89133
19250,NCI-H23+718781+141540,54.0,55.909084,1.909084
25743,786-0+67574+747974,37.0,35.09043,1.9095700000000022
14986,UACC-257+226080+761432,46.0,44.087109999999996,1.9128900000000044
22125,OVCAR-4+369100+713563,8.0,9.914878,1.9148779999999999
3192,SF-295+19893+757441,6.0,7.91785,1.9178499999999996
19322,NCI-H23+750+169780,5.0,6.9237795,1.9237795000000002
312,MCF7+673596+761432,8.0,6.0587854000000005,1.9412145999999995
21376,IGROV1+754230+747971,2.0,3.9433154999999998,1.9433154999999998
2109,T-47D+127716+105014,44.0,42.039978000000005,1.960021999999995
8715,SW-620+14229+755,13.0,11.039763,1.9602369999999993
25375,DU-145+747971+169780,2.0,0.037392743,1.962607257
13112,M14+125066+8806,3.0,4.9776955,1.9776955000000003
23544,SK-OV-3+256942+747974,42.0,43.992744,1.9927440000000018
9888,HL-60(TB)+369100+762,38.0,36.005962,1.9940380000000033
25647,786-0+32065+733504,6.0,4.0002975,1.9997024999999997
21023,IGROV1+24559+721517,6.0,8.005149000000001,2.005149000000001
13365,M14+67574+753082,99.0,96.99329,2.006709999999998
22876,OVCAR-5+85998+747972,4.0,1.9902948,2.0097052
20055,NCI-H460+26271+125066,15.0,17.010612,2.0106119999999983
11119,RPMI-8226+109724+747599,14.0,11.988757000000001,2.0112429999999986
9664,HL-60(TB)+105014+698037,6.0,8.015933,2.0159330000000004
23195,OVCAR-8+66847+760766,15.0,12.968796000000001,2.031203999999999
8708,SW-620+14229+63878,24.0,21.961267000000003,2.038732999999997
15668,UACC-62+628503+79037,42.0,44.043921999999995,2.043921999999995
2500,T-47D+747972+757441,11.0,8.9544,2.0456000000000003
8963,SW-620+673596+628503,3.0,5.0502768,2.0502768
8969,SW-620+67574+755986,70.0,67.94924,2.050759999999997
12115,LOX IMVI+127716+279836,23.0,25.055757999999997,2.0557579999999973
9045,SW-620+721517+701852,7.0,4.9439297,2.0560703
2301,T-47D+409962+122758,19.0,21.059784,2.0597840000000005
9591,CCRF-CEM+750+713563,7.0,4.924843,2.075157
7083,HCT-116+85998+732517,31.0,33.077290000000005,2.077290000000005
20465,NCI-H522+1390+755986,15.0,12.921508,2.0784920000000007
9302,CCRF-CEM+256439+180973,38.0,35.91796,2.0820399999999992
10111,HL-60(TB)+761431+761432,52.0,54.083194999999996,2.0831949999999964
23675,SK-OV-3+628503+761432,23.0,25.097618,2.0976180000000006
28529,TK-10+226080+715055,42.0,39.89343,2.106569999999998
3912,SF-539+715055+123127,17.0,14.888776000000002,2.111223999999998
11806,SR+45923+123127,11.0,8.887768,2.1122320000000006
3932,SF-539+719344+713563,72.0,69.88332,2.1166800000000023
8447,KM12+718781+24559,1.0,-1.11773,2.11773
10948,MOLT-4+719276+756645,9.0,11.124587,2.124587
18199,HOP-92+702294+180973,7.0,4.871179,2.1288210000000003
1073,HS 578T+125066+737754,4.0,6.132436,2.132436
